"Source:"	"/home/jdn/Code/alienFontDisplay/board/afd/afd.sch"
"Date:"	"Mon 22 Nov 2021 10:03:18 PM PST"
"Tool:"	"Eeschema 5.1.10-88a1d61d58~90~ubuntu20.04.1"
"Component Count:"	"50"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"R5"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R6"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R7"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R8"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R9"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R10"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R11"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R12"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R13"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R14"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R15"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R16"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R17"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R18"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R19"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R20"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R21"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R22"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R23"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R24"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R25"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"R26"	"390"	"Device:R_US"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor, US symbol"	""
"U1"	"PIC18F16Q40-E_SO"	"jdn_symbols:PIC18F16Q40-E_SO"	"Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm"	""	""
"U2"	"MOC3063"	"dk_Optoisolators-Triac-SCR-Output:MOC3063"	"digikey-footprints:SMD-4_5x4.4mm_P4mm"	"OPTOISOLATOR 5KV TRIAC 6DIP"	""
"U3"	"MOC3063"	"dk_Optoisolators-Triac-SCR-Output:MOC3063"	"digikey-footprints:SMD-4_5x4.4mm_P4mm"	"OPTOISOLATOR 5KV TRIAC 6DIP"	""
"U4"	"MOC3063"	"dk_Optoisolators-Triac-SCR-Output:MOC3063"	"digikey-footprints:SMD-4_5x4.4mm_P4mm"	"OPTOISOLATOR 5KV TRIAC 6DIP"	""
"U5"	"MOC3063"	"dk_Optoisolators-Triac-SCR-Output:MOC3063"	"digikey-footprints:SMD-4_5x4.4mm_P4mm"	"OPTOISOLATOR 5KV TRIAC 6DIP"	""
"U6"	"MOC3063"	"dk_Optoisolators-Triac-SCR-Output:MOC3063"	"digikey-footprints:SMD-4_5x4.4mm_P4mm"	"OPTOISOLATOR 5KV TRIAC 6DIP"	""
"U7"	"MOC3063"	"dk_Optoisolators-Triac-SCR-Output:MOC3063"	"digikey-footprints:SMD-4_5x4.4mm_P4mm"	"OPTOISOLATOR 5KV TRIAC 6DIP"	""
"U8"	"MOC3063"	"dk_Optoisolators-Triac-SCR-Output:MOC3063"	"digikey-footprints:SMD-4_5x4.4mm_P4mm"	"OPTOISOLATOR 5KV TRIAC 6DIP"	""
"U9"	"MOC3063"	"dk_Optoisolators-Triac-SCR-Output:MOC3063"	"digikey-footprints:SMD-4_5x4.4mm_P4mm"	"OPTOISOLATOR 5KV TRIAC 6DIP"	""
